Feature,Importance
Solidity,0.1288131800676702
Aspect Ration,0.10537375956438591
Isoperimetric factor,0.10488019777674343
Eccentricity,0.09403355846346863
Lobedness,0.08672544963652354
Maximum Identation Depth,0.07812321790699595
Elongation,0.06782326833675154
StochasticConvexity,0.05511380083281967
Entropy,0.05218121953387501
Average Intensity,0.04930339366082911
Third Moment,0.04834294944206988
Uniformity,0.043227048787108834
Smoothness,0.04313510425128082
Average Contrast,0.042923851739477395
